姓名,手机,邮箱,工作单位,入学年份,专业,学院编号,捐赠金额,所属省份,毕业城市
覃风华,298498081,marley.von@skilesryan.net,博涛智渊有限公司,1211,徐家侬22467号,8142,456,香港,宁头市
雷金鑫,646203300,laurence@rempel.com,思远懿轩机构,1742,莫家街732号,56111,3274,黑龙江省,长乡县
蔡健雄,607811211,twila@davis.biz,凯瑞伟宸有限公司,489,方家桥2520号,31953,6258,甘肃省,衡南市
龚昊然,629458047,courtney.ondricka@padberg.biz,嘉懿伟宸有限公司,1947,苏家桥71号,3762,3015,甘肃省,济海市
龙俊驰,124895541,omer_rau@witting.com,思天宇机构,1888,贾家旁55386号,2747,1485,四川省,包徽市
龙健柏,647515026,frederick@jacobsonkonopelski.name,风华鹏煊集团,1513,严家街41010号,43152,4324,陕西省,宁阳市
徐泽洋,693516159,violet@koelpin.com,立辉天翊有限公司,1005,丁家栋07号,59199,2199,上海市,济林市
李鹏飞,159538705,jerome_d'amore@gutkowski.name,梓晨明轩集团,244,彭家栋37586号,21276,156,山西省,安徽市
徐浩宇,392828266,patience@kautzer.net,潇然烨伟机构,0,尹家侬88521号,32026,9002,内蒙古,济徽市
蔡绍辉,747225447,elmo.o'kon@lubowitz.org,子涵思远集团,506,江家巷14786号,55405,1137,广西省,诸安市
孙立果,924879241,angie@gusikowskiheaney.name,志泽智辉有限公司,575,陈家路2581号,41166,9336,江西省,贵安市
洪思源,508572546,jeremy_hermiston@konopelski.info,昊然致远集团,967,姚家旁0430号,22274,1598,云南省,贵林市
胡立辉,933967425,nestor_bauch@hills.name,彬苑博机构,1191,曾家侬385号,27736,3410,西藏,包原市
邱鸿煊,580695285,eloise@leannon.org,明哲智宸机构,314,顾家桥161号,59652,8582,内蒙古,济乡县
毛修洁,6105384,katherine@schiller.info,熠彤晋鹏有限公司,1937,贾家巷543号,47319,7726,天津市,武海市
汪思远,288845802,lourdes.haley@langworthheidenreich.info,振家伟泽机构,1349,毛家巷34654号,11030,8981,江西省,吉口市
唐建辉,490006052,georgianna_stehr@breitenberg.net,致远展鹏集团,2059,毛家中心78078号,18221,4384,四川省,南乡县
戴立果,786557903,ona_keeling@streichfeest.org,明杰伟宸有限公司,904,史家巷84785号,11635,5786,浙江省,南京市
段伟诚,228547051,vesta.stokes@christiansen.com,果嘉熙机构,612,彭家巷477号,4651,2305,浙江省,北海市
刘烨磊,230599183,virginie.jones@bosco.info,乐驹文轩集团,1961,侯家街37号,39059,3767,河北省,长安市
潘彬,404543231,elbert_feeney@beatty.org,潇然弘文集团,358,魏家侬6606号,55489,7743,四川省,包阳市
吴文,295931968,josiah@halvorson.info,弘文志泽有限公司,486,余家栋0838号,36535,4657,澳门,北海市
董修洁,405034415,raquel@maggio.org,智辉天翊机构,35,杨家桥5号,3889,9513,湖南省,济林市
陶烨霖,210519700,alanna.padberg@boganhagenes.name,哲瀚智渊机构,1095,姚家街5号,13227,870,湖南省,济林市
廖子涵,543312984,birdie@ratke.info,子骞涛机构,459,刘家街7号,54955,4162,安徽省,吉都市
史修洁,362236829,lowell@huellangosh.com,浩然炫明机构,848,钟家桥61号,17768,8666,黑龙江省,珠码市
白昊强,883776200,jacques_labadie@hermann.name,峻熙志强机构,1768,侯家桥03515号,15694,5399,浙江省,南乡县
赖越彬,456471162,gillian@brakus.net,苑博绍辉机构,899,钟家街616号,266,9888,云南省,包林市
曹擎宇,46338318,mallory.littel@vonruedenveum.name,正豪峻熙机构,1624,邓家路72号,38379,8652,西藏,济安市
龚雨泽,685758675,manley.jewess@gutmannjast.info,煜祺立轩集团,809,钟家路57号,13504,1393,青海省,包都市
朱瑞霖,729278470,elmira@bernhard.info,俊驰鹭洋机构,1188,邹家栋7号,10013,2520,重庆市,上林市
雷健雄,562460260,ransom.wiegand@gleason.biz,博涛荣轩有限公司,1402,胡家桥62472号,43287,1464,西藏,成码市
